id,name,endangered,flight_speed,weight_ounces,species_population
1,"Magnolia Warbler",FALSE,53.40,8.26,76663
2,"Golden Eagle",FALSE,29.00,10.73,37522
3,"Common Sandpiper",TRUE,20.60,6.52,84814
4,"Sedge Warbler",TRUE,44.10,5.76,28723
5,"Hermit Thrush",TRUE,16.20,14.48,15245
6,"Caspian Tern",FALSE,28.20,12.33,98584
7,"Grey Catbird",FALSE,38.40,13.90,86035
8,"Canada Warbler",FALSE,48.60,7.45,46169
9,"Red-shouldered Hawk",FALSE,32.70,12.19,79313
10,"Pine Warbler",FALSE,39.10,11.99,36828
11,"Peregrine Falcon",FALSE,20.10,6.63,34312
12,Dunlin,TRUE,11.50,9.19,31251
13,"Gull-billed Tern",TRUE,31.60,6.05,2001
14,"European Robin",FALSE,49.70,5.49,72029
15,"Common Loon",FALSE,44.80,12.01,14897
16,"Mottled Duck",TRUE,35.90,13.14,37652
17,"Bonaparte's Gull",TRUE,44.80,7.14,56670
18,"Red-headed Woodpecker",TRUE,41.80,11.32,65054
19,"Magnificent Frigatebird",TRUE,33.20,10.04,26189
20,"Common Grackle",FALSE,19.20,10.65,26742
21,"Northern Rough-winged Swallow",FALSE,18.80,8.19,27934
22,"Muscovy Duck",FALSE,38.40,7.99,14724
23,"Black and White Warbler",FALSE,48.90,9.98,9244
24,"Sharp-shinned Hawk",FALSE,43.90,12.25,2494
25,"Eurasian Jay",TRUE,37.60,11.78,19623
26,"Wood Thrush",TRUE,11.40,12.27,14855
27,"Grey Gull",TRUE,24.30,5.34,26910
28,"Northern Flicker",FALSE,18.40,11.01,68245
29,"Spotted Sandpiper",TRUE,33.60,5.06,90041
30,"Blackpoll Warbler",FALSE,44.20,8.22,21338
31,"Snowy Egret",TRUE,23.60,8.46,45272
32,Veery,TRUE,38.40,9.10,85336
33,"Wilson's Warbler",FALSE,45.40,14.14,21054
34,"Carolina Wren",FALSE,28.60,9.00,85138
35,"Boreal Chickadee",TRUE,21.60,13.04,43498
36,"Common Ground Dove",FALSE,16.80,8.49,87172
37,"Red-tailed Hawk",FALSE,36.00,7.92,98141
38,"Great White Egret",FALSE,16.20,7.60,9812
39,"Fox Sparrow",FALSE,27.20,13.43,42804
40,"Great Blue Heron",FALSE,44.40,7.15,64233
41,"Palm Warbler",FALSE,29.80,13.90,42491
42,Merlin,FALSE,34.00,6.46,97083
43,"Pine Grosbeak",TRUE,22.40,14.42,47087
44,Osprey,FALSE,49.70,5.96,39583
45,"Rock Wren",FALSE,45.20,9.17,95266
46,"Common Tern",TRUE,19.40,14.85,25629
47,"Canada Goose",FALSE,33.30,6.71,2510
48,Mallard,FALSE,15.10,8.83,13637
49,"Eurasian Magpie",TRUE,34.00,8.59,13394
50,"Downy Woodpecker",FALSE,42.60,10.93,40669
51,"Yellow-Rumped Warbler",FALSE,34.20,11.94,94137
52,"Royal Tern",FALSE,35.70,13.39,3519
53,Killdeer,FALSE,16.00,13.71,6176
54,"Northern Parula",FALSE,35.20,14.93,26736
55,"Dolphin Gull",TRUE,37.00,11.15,79286
56,"Red-breasted Nuthatch",FALSE,35.60,12.96,52448
57,"Burrowing Owl",FALSE,46.40,12.73,23701
58,"Green-winged Teal",TRUE,34.90,13.72,9390
59,"Eastern Pheobe",FALSE,27.50,8.45,53794
60,"American Oystercatcher",FALSE,11.10,6.73,97534
61,"Short-tailed Hawk",FALSE,35.10,6.07,50201
62,"Wilson's Plover",FALSE,23.90,7.69,2529
63,"Silver Gull",TRUE,34.60,6.06,82999
64,"House Sparrow",FALSE,10.40,14.96,43789
65,"Kirtland's Warbler",FALSE,29.90,6.80,3258
66,"Rose-breasted Grosbeak",FALSE,47.50,5.03,39173
67,Sanderling,TRUE,46.20,6.75,19849
68,"Black-capped Chickadee",TRUE,36.40,14.38,22704
69,"Eastern Kingbird",FALSE,48.40,13.87,4777
70,"Laughing Gull",FALSE,29.20,12.73,44168
71,Peacock,FALSE,36.90,7.95,89580
72,"Swainson's Warbler",FALSE,32.10,8.46,22707
73,"Common Snipe",TRUE,39.70,14.06,34114
74,"Stellar's Jay",FALSE,31.30,10.24,63762
75,"Cactus Wren",FALSE,16.50,12.28,17518
76,Canvasback,TRUE,20.40,14.90,85237
77,"Great-crested Flycatcher",FALSE,32.20,13.14,53383
